ltable_id,rtable_id
1117,16504
2155,4509
333,9900
1690,16905
543,20475
2206,4531
1719,18430
1690,17043
1719,418
2461,4495
169,8162
361,1973
1171,7253
439,20217
1383,5690
2030,21874
879,6104
1697,17474
670,17420
670,18095
2165,17867
1869,16756
1215,16665
746,8726
165,4734
1335,18733
2074,17462
1053,9034
1697,1487
969,20504
2359,2868
2179,16858
1215,17340
407,20970
1086,19723
1915,17540
1690,16214
1727,11908
1697,14620
1725,3673
1335,20083
1153,20146
1718,17433
1725,16668
543,1772
1869,13227
1113,401
795,19800
1718,18108
1718,17571
1690,18101
2411,18078
19,13057
778,761
1719,7168
333,6754
333,19212
1644,14463
1697,17320
165,8784
670,17266
516,16262
670,17941
1696,17369
2457,19537
1723,17208
1719,9868
516,17612
1511,12068
1704,13563
1869,17952
2461,14620
2549,4936
889,238
1153,13226
1799,7902
1719,18122
703,17048
1612,4937
1153,21342
1457,16760
1279,7978
1718,18092
1139,5152
528,21347
1180,14415
1139,17610
2461,17320
1279,2424
1648,19825
1139,273
879,18254
1215,21236
1719,21497
865,16563
2461,12579
1648,15621
2260,13722
23,16777
1215,17032
746,9093
1644,17009
865,17913
1719,17293
1215,17707
2408,5518
1335,20312
1704,20313
1383,21215
1718,17125
358,20404
2439,6823
795,13938
1215,19732
1718,6692
969,4884
2461,17166
1648,1659
1139,119
1989,11995
1277,939
1306,16608
1335,16921
754,20982
1817,15567
1697,14020
1869,17644
543,12418
1020,12548
1718,16296
1690,3294
2425,1449
239,10617
1722,16258
1869,307
1053,16688
1051,1395
778,17636
1904,19448
2549,18436
1723,8492
746,11639
1383,16857
1648,13288
1612,18437
234,18421
23,8215
439,20276
2457,18400
1856,18667
1704,17305
255,8914
516,17012
1747,3184
1697,18208
46,16500
2534,16640
1869,16815
865,17467
889,17650
1725,7936
649,17228
1644,16701
358,18071
1719,16985
1179,15490
1725,3594
2489,21898
865,18280
1053,16534
1719,17660
1051,1241
1869,18840
2461,15508
1718,17492
1179,4382
516,20387
165,18601
1381,19576
1279,14282
1335,9034
1383,16703
746,239
879,17117
1725,18077
203,18312
865,20980
746,377
1306,16300
1648,2026
1725,6432
516,16858
58,15494
1648,20713
1697,18591
754,14583
2058,16370
1989,6271
1869,16661
746,2939
976,18140
1215,16570
1718,9222
1985,8334
333,10188
1718,16663
969,14855
1362,19981
1215,17920
1180,18678
1648,11630
778,18003
1725,17248
516,20908
1696,14574
879,16963
1870,4691
516,3034
2179,7680
23,2353
1722,19325
1817,3184
746,1435
1058,20880
1697,12208
1989,12208
1648,20559
1644,21272
1612,20691
1869,16507
1697,12346
1719,3544
1869,4724
670,18521
572,15167
358,18438
889,18692
1117,17313
1053,16226
299,464
1719,17352
1697,1913
1153,673
1139,16702
1644,18418
1139,4382
879,4351
2256,17194
1139,18052
1727,20450
746,18618
1644,19768
879,17484
1648,20267
2139,101
404,18748
1179,18557
1383,17745
358,16259
1697,18283
1690,1865
830,16551
2368,15351
1690,1328
690,12896
358,17471
358,16934
670,18367
333,20988
1850,250
1407,21856
830,18438
1719,16523
2482,10418
670,1705
1215,17612
2549,17682
516,701
1057,17321
358,7176
1179,16378
1180,12816
2520,15683
2353,13476
1644,252
2459,7486
1884,1349
358,20846
1179,17053
1725,17615
1051,9033
234,17805
1648,889
1725,18290
2457,17784
896,1632
1053,760
1215,20312
2256,17178
1696,16291
1022,20779
1417,16665
1989,18129
165,2827
1153,16889
1869,16736
1904,16653
1279,17195
670,12659
2339,2702
778,16728
358,5672
1644,16760
1648,4264
1884,17857
879,21242
1644,17435
1171,16975
338,572
2489,16403
